key,label,group
goals,Goals,Attacking
npxg,Non-Penalty xG,Attacking
xg_delta,xG Delta (Goals − xG),Attacking
xgi,xGI (xG + xA),Attacking
xgi_delta,xGI Delta (G+A − xGI),Attacking
shots,Shots Total,Attacking
sot,Shots on Target,Attacking
box_shots,Shots in the Box,Attacking
headed_shots,Headed Shots,Attacking
fk_shots,Free Kick Shots,Attacking
touches_box,Touches in Opponents Box,Attacking
assists,Assists,Creation
xa,xA,Creation
xa_delta,xA Delta (Assists − xA),Creation
chances_created,Chances Created,Creation
big_chances,Big Chances Created,Creation
xg_chain,xG Chain,Creation
xg_buildup,xG Buildup,Creation
crosses,Crosses (Open Play),Creation
sp_deliveries,Set Piece Deliveries,Creation
tackles,Tackles,Defending
cbi,Clearances/Blocks/Int,Defending
recoveries,Recoveries,Defending
def_contrib,Defensive Contribution,Defending
saves,Saves,Goalkeeping
cs,Clean Sheets,Goalkeeping
xgc_prevented,Goals Prevented (xGC-GC),Goalkeeping
bps,BPS,Goalkeeping
